GROUP,CONAME,DIST,DISTNAME,EX121,EX221
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,0,0
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,460000,460000
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,337318,170989
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,300000,250000
B. K-8 / 0 - 400,Union,1710,Garwood Boro,0,250000
B. K-8 / 0 - 400,Union,5810,Winfield Twp,0,92372
B. K-8 / 0 - 400,Warren,70,Alpha Boro,502265,173574
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,0,0
B. K-8 / 0 - 400,Warren,2250,Hope Twp,149608,127979
B. K-8 / 0 - 400,Warren,3890,Oxford Twp,0,0
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,690484,434425
B. K-8 / 0 - 400,Warren,5780,White Twp,249853,212052
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,756628,1255665
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,910037,910000
C. K-8 / 401 - 750,Atlantic,4800,Somers Point City,492987,498669
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,1139749,1691412
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,1671503,1655363
C. K-8 / 401 - 750,Bergen,1230,East Rutherford Boro,600000,600000
C. K-8 / 401 - 750,Bergen,2050,Harrington Park Boro,115396,241213
C. K-8 / 401 - 750,Bergen,2090,Haworth Boro,0,0
C. K-8 / 401 - 750,Bergen,2200,Ho Ho Kus Boro,377779,377779
C. K-8 / 401 - 750,Bergen,3730,Northvale Boro,129886,637483
C. K-8 / 401 - 750,Bergen,3740,Norwood Boro,205993,150000
C. K-8 / 401 - 750,Bergen,3850,Old Tappan Boro,1640889,1580554
C. K-8 / 401 - 750,Bergen,4470,Rochelle Park Twp,38437,250000
C. K-8 / 401 - 750,Bergen,5880,Woodcliff Lake Boro,0,0
C. K-8 / 401 - 750,Burlington,1250,Eastampton Twp,0,58262
C. K-8 / 401 - 750,Burlington,1910,Hainesport Twp,1000000,466714
C. K-8 / 401 - 750,Burlington,3070,Medford Lakes Boro,577270,593132
C. K-8 / 401 - 750,Burlington,4740,Shamong Twp,850000,1200000
C. K-8 / 401 - 750,Burlington,4930,Southampton Township School District,438663,534812
C. K-8 / 401 - 750,Burlington,5130,Tabernacle Twp,597114,653957
C. K-8 / 401 - 750,Camden,190,Barrington Boro,0,0
C. K-8 / 401 - 750,Camden,340,Berlin Twp,171376,662313
C. K-8 / 401 - 750,Camden,880,Clementon Boro,613817,1163308
C. K-8 / 401 - 750,Camden,3420,Mount Ephraim Boro,1486159,1496298
